time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447300000	19.4804	8.49286	4.67154	1.11943	0.36995	lidar	3.01369	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5757	8.69138	4.60215	1.13807	0.37248	radar	0.410749	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7353	8.87147	4.59075	1.12476	0.335244	lidar	3.97957	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8146	9.08117	4.4991	1.15299	0.353888	radar	0.879143	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9394	9.32508	4.60008	1.1681	0.352465	lidar	3.4869	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9928	9.52842	4.42243	1.20429	0.383256	radar	2.10457	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0728	9.78601	4.52834	1.23589	0.399289	lidar	1.27535	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1343	10.0415	4.67946	1.26597	0.406557	radar	7.5271	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1775	10.3355	4.81557	1.31344	0.439797	lidar	1.22346	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1964	10.5634	4.67491	1.35871	0.477192	radar	2.78033	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2494	10.8531	4.81212	1.39363	0.491638	lidar	2.22897	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2752	11.1197	4.90825	1.42682	0.498644	radar	4.86714	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3102	11.3571	4.89616	1.44933	0.495754	lidar	0.00818358	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2614	11.593	4.66888	1.52193	0.573508	radar	9.95299	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3316	11.8308	4.68394	1.52641	0.546457	lidar	4.90823	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3547	12.0721	4.85779	1.53222	0.501977	radar	3.98597	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.335	12.3775	5.00878	1.5762	0.52485	lidar	0.977134	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2877	12.6081	4.83265	1.63246	0.578274	radar	3.00573	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3155	12.8393	4.80106	1.64183	0.556159	lidar	1.96176	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3085	13.0616	4.75049	1.66334	0.54962	radar	2.06293	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2764	13.2653	4.67428	1.69083	0.548724	lidar	0.875232	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2399	13.4984	4.71918	1.71553	0.539049	radar	1.33929	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2135	13.7687	4.80651	1.74013	0.537482	lidar	1.45516	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1626	13.9883	4.7341	1.77406	0.55173	radar	0.774717	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1008	14.2553	4.82771	1.80692	0.558712	lidar	0.437891	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0296	14.4835	4.82991	1.8379	0.560076	radar	1.35633	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9127	14.7534	4.95579	1.88557	0.583177	lidar	1.11185	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.847	14.9694	4.94261	1.90081	0.555084	radar	3.39369	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8257	15.1738	4.82417	1.90541	0.528672	lidar	2.23816	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7047	15.3675	4.60904	1.97866	0.624437	radar	7.55891	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
